Название;Артикул
Полуколонна 90030-H;90030-H
Полуоснование 90030-4-H;90030-4-H
Элемент 1.54.012;1.54.012
Воск мягкий "Stuccorapido" (30гр),цвет №11;Воск цвет №11
Воск мягкий "Stuccorapido" (30гр),цвет №12;Воск цвет №12
Воск мягкий "Stuccorapido" (30гр),цвет №33;Воск цвет №33
Воск мягкий "Stuccorapido" (30гр),цвет №43;Воск цвет №43
Воск мягкий "Stuccorapido" (30гр),цвет №46;Воск цвет №46
Воск мягкий "Stuccorapido" (30гр),цвет №48;Воск цвет №48
Воск мягкий "Stuccorapido" (30гр),цвет №50;Воск цвет №50
Воск мягкий "Stuccorapido"(30гр),цвет №116;Воск цвет №116
Карандаш "Profix", цвет №07;цвет №07
Карандаш "Profix" цвет №08;цвет №08
Карандаш "Profix", цвет №13;цвет №13
Карандаш  "Profix", цвет №14;цвет №14
Карандаш "Profix", цвет №17;цвет №17
Карандаш "Profix", цвет №41;цвет №41
Карандаш "Profix", цвет №48;цвет №48
Карандаш "Profix", цвет №52;цвет №52
Карандаш "Profix", цвет №59;цвет №59
Карандаш-Маркер "Holzmarket" цвет №11 (золото);цвет №11
101-11 Молдинг (2,4м);101-11
101-14 Молдинг (2,4м);101-14
102-18 Молдинг (2,4м);102-18
102-19 Молдинг (2,4м);102-19
102-20 Молдинг (2,4м);102-20
103-11 Молдинг (2,4м);103-11
103-13 Молдинг (2,4м);103-13
103-14 Молдинг (2,4м);103-14
103-15 Молдинг (2,4м);103-15
105-11 Молдинг (2,4м);105-11 *
105-13 Молдинг (2,4м);105-13
105-15 Молдинг (2,4м);105-15
105-17 Молдинг (2,4м);105-17
105-18 Молдинг (2,4м);105-18
105-20 Молдинг (2,4м);105-20
105-19 Молдинг (2,4м);105-19
107-17 Молдинг (2,4м);107-17
107-18 Молдинг (2,4м);107-18 *
107-19 Молдинг (2,4м);107-19
107-20 Молдинг (2,4м);107-20
108-17 Молдинг (2,4м);108-17
108-18 Молдинг (2,4м);108-18
108-19 Молдинг (2,4 м);108-19
108-20 Молдинг (2,4 м);108-20
109-11 Молдинг (2,4м);109-11
109-13 Молдинг (2,4м);109-13
109-15 Молдинг (2,4м);109-15
109-17 Молдинг (2,4м);109-17
109-18 Молдинг (2,4м);109-18
109-19 Молдинг (2,4м);109-19
109-20 Молдинг (2,4м);109-20
130-17 Молдинг (2,4м);130-17 есть ДМ
130-19 Молдинг (2,4м);130-19 есть ДМ
130-18 Молдинг (2,4м);130-18 есть ДМ
130-20 Молдинг (2,4м);130-20 есть ДМ
157-17 Молдинг (2,4м);157-17 есть ДМ
157-18 Молдинг (2,4м);157-18 есть ДМ
157-19 Молдинг (2,4м);157-19 есть ДМ
157-20 Молдинг (2,4м);157-20 есть ДМ
184-11 Молдинг (2,4м);184-11
184-13 Молдинг (2,4м);184-13
184-14 Молдинг (2,4м);184-14
184-15 Молдинг (2,4м);184-15
185-11 Молдинг (2,4м);185-11
185-13 Молдинг (2,4м);185-13
185-14 Молдинг (2,4 м);185-14
185-15 Молдинг (2,4м);185-15
187-11 Молдинг (2,4м);187-11
187-13 Молдинг (2,4м);187-13
187-14 Молдинг (2,4м);187-14
187-15 Молдинг (2,4м);187-15
188-11 Молдинг (2,4м);188-11
188-13 Молдинг (2,4м);188-13
188-14 Молдинг (2,4м);188-14
188-15 Молдинг (2,4м);188-15
534-11 Молдинг (2,4м);534-11
534-13 Молдинг (2,9м);534-13
534-14 Молдинг (2,4м);534-14
534-15 Молдинг (2,4м);534-15
110-11 Т- профиль;110-11
110-13 Т- профиль;110-13
110-15 Т- профиль;110-15
110-17 Т- профиль;110-17
110-18 Т- профиль;110-18
110-19 Т- профиль;110-19
110-20 Т- профиль;110-20
177-13 Плинтус (2,4м);177-13
177-14  Плинтус (2,4м);177-14
177-15 Плинтус (2,4м);177-15
179-11 Плинтус (2,4м);179-11
179-13 Плинтус (2,4м);179-13
179-14 Плинтус (2,4м);179-14
179-15 Плинтус (2,4м);179-15
180-11 Плинтус (2,4м);180-11
180-13 Плинтус (2,4м);180-13
180-14 Плинтус (2,4м);180-14
180-15 Плинтус (2,4м);180-15
195-11 Плинтус напольный (2,4м);195-11
195-13 Плинтус напольный (2,4м);195-13
195-14 Плинтус напольный (2,4м);195-14
195-15 Плинтус напольный (2,4м);195-15
198-11 Плинтус напольный (2,9м);198-11
F10-11 Панель (2,4м);F10-11
F10-13 Панель (2,4м);F10-13
F10-15 Панель (2,4м);F10-15
F15-15 Панель (2,4м);F15-15
F20-11 Панель (2,4м);F20-11
F20-13 Панель (2,4м);F20-13
F20-15 Панель (2,4м);F20-15
F30-11 Панель (2,4м);F30-11
F30-13 Панель (2,4м);F30-13
F30-15 Панель (2,4м);F30-15
G10-17 Панель (2,4м);G10-17
G10-18 Панель (2,4м);G10-18
G10-19 Панель (2,4м);G10-19
G10-20 Панель (2,4м);G10-20
G15-17 Панель (2,4м);G15-17
G15-19 Панель (2,4м);G15-19
G15-20 Панель (2,4м);G15-20
G20-17 Панель (2,4м);G20-17
G20-18 Панель (2,4м);G20-18
G20-19 Панель (2,4м);G20-19
G20-20 Панель (2,4м);G20-20
G30-17 Панель (2,4м);G30-17
G30-18 Панель (2,4м);G30-18
G30-19 Панель (2,4м);G30-19
G30-20 Панель (2,4м);G30-20
G60-17 Панель (2,4м);G60-17
G60-18 Панель (2,4м);G60-18
G60-19 Панель (2,4м);G60-19 выв.
G60-20 Панель (2,4м);G60-20
R60-22 Панель (2,4м);R60-22
527-114 багет (2,9м);527-114
527-1244 багет (2,9м);527-1244
552-195 багет (2,9м);552-195
552-373 багет (2,9м);552-373
916-247 багет (2,9м);916-247
916-393 багет (2,9м);916-393
947-565 багет (2,9м);947-565
978-565 багет (2,9м);978-565
980-565 багет (2,9м);980-565
980-566 багет  (2,9м);980-566
182-11 Угол (2,4м);182-11
182-13 Угол (2,4м);182-13
182-14 Угол (2,4м);182-14
182-15 Угол (2,4м);182-15
Карниз с узорчатой резьбой L=2,44м. C 1075-8;C 1075-8 выв.
116-5 Угол (2,4м);116-5 есть ДМ
Основание DD 330;DD 330
130D-115 Молдинг (2,4м);130D-115 есть ДМ
101-13 Молдинг (2,4м);101-13
101-15 Молдинг (2,4м);101-15
102-17 Молдинг  (2,4м);102-17
116-1 Угол (2,4м);116-1
116-118 Угол (2,4м);116-118 есть ДМ
Полукапитель 90030-2-H;90030-2-H
Потолочный профиль с орнаментом L=2,4м 95126 Flex;95126 flexible
Угловые вставки 97100-3R;97100-3R
Угловые вставки 97100-3L;97100-3L
116-767 Угол (2,4м);116-767 есть ДМ
130D-176 Молдинг (2,4м);130D-176 есть ДМ
214-3 багет (2,9м);214-3
229-182 багет (2,9м);229-182
477-114 багет (2,9м);477-114
528-1243 багет (2,9м);528-1243
553-114 багет (2,9м);553-114
811М-905 багет (2,9м);811М-905
829-934 багет (2,9м);829-934 АКЦИЯ!!!
947-566 багет (2,9м);947-566
978-566 багет (2,9м);978-566
214-373 багет (2,9м);214-373
400-954 багет (2,9м);400-954
413-566 багет (2,9м);413-566
516-127 багет (2,9м);516-127
685-182 багет (2,9м);685-182
808-552 багет (2,9м);808-552
477-1243 багет (2,9м);477-1243
477-1244 багет (2,9м);477-1244
527-195 багет (2,9м);527-195
527-725 багет (2,9м);527-725
528-1244 багет (2,9м);528-1244
553-195 багет (2,9м);553-195
553-373 багет (2,9м);553-373
553-1153 багет (2,9м);553-1153
811М-906 багет (2,9м);811М-906
829-935 багет (2,9м);829-935
304-566 багет (2,9м);304-566
400-958 багет (2,9м);400-958
685-217 багет (2,9м);685-217
808-553 багет (2,9м);808-553
116-115 Угол (2,4м);116-115 есть ДМ
Купол 99101;99101
Угловые вставки 98027-1;98027-1
Радиус  897174-111;897174-111
Потолочный профиль с орнаментом L=2,4м 95775 Flex;95775 flexible
Карниз с гладким профилем L=2,44м. P 2076-8;P 2076-8 выв.
Угловые вставки 97803-2R;97803-2R  (DP-8030A)
Полка декоративная 91367;91367
Полка декоративная 91362;91362
Полка декоративная 68629;68629
Орнамент  68101-1;68101-1
Орнамент  91268-1;91268-1
Консоль 68687;68687
116s-767 Угол (2,4м);116s-767 есть ДМ
Орнамент  61279;61279
Капитель 92815-1R;92815-1R
Капитель 92815-1L;92815-1L
Каминная полка L=2,4м  98803;98803
Потолочный профиль с орнаментом L=2,4м 95861 Flex;95861 flexible
Потолочный профиль с орнаментом L=2,4м 95088;95088
Потолочный профиль с орнаментом L=2,4м 95088;95088
Потолочный профиль гладкий L=240 см DP 377;DP 377
Консоль 68686;68686
Радиус  898061-90;898061-90
128B-1068 Молдинг (2,4м);128B-1068
Пилястр 92824;92824
Капитель 92824-3;92824-3
116s-937 Угол (2,4м);116s-937 есть ДМ
116s-115 Угол (2,4м);116s-115 есть ДМ
193-13 Плинтус напольный (2,4м);193-13
Орнамент  66082;66082
Розетка 80095;80095
155s-115 Плинтус (2,4м);155s-115
128-115 Молдинг (2,4м);128-115
Потолочный профиль гладкий L=240 см 96406;96406
Потолочный профиль гладкий L=240 см 96406 flexible;96406 flexible
Орнамент 71010;71010
Капитель 92815-2L;92815-2L
Капитель 92815-2R;92815-2R
Розетка 88185;88185
116-553 Угол (2,4м);116-553 есть ДМ
186-14 Молдинг (2,4м);186-14
Угловые вставки 97154-2;97154-2
Z61 Плинтус потолочный, L=2м;Z61
Потолочный профиль с орнаментом L=2,4м 95308;95308
Розетка 80155;80155
155s-552 Плинтус (2,4м);155s-552
Потолочный профиль с орнаментом L=2,4м 95002;95002
Угловые вставки 97154-1;97154-1
116s-933 Угол (2,4м);116s-933 есть ДМ
Купол DM 3509;DM 3509 выв.
Угловой плинтус D003 2м;D003 есть ДМ
Плинтус D004 2м;D004
Плинтус D005 2м;D005 есть ДМ
Плинтус D100 2м;D100
Плинтус D105 2м;D105 есть ДМ
Плинтус D108 2м;D108
Плинтус D109 2м;D109 есть ДМ
Плинтус D111 2м;D111 есть ДМ
Плинтус D115 2м;D115 есть ДМ
Плинтус D118 2м;D118
Плинтус D122 2м;D122 есть ДМ
Плинтус D124 2м;D124 есть ДМ
Плинтус D132 2м;D132 есть ДМ
Плинтус D133 2м;D133 есть ДМ
Плинтус D137 2м;D137 есть ДМ
Розетка В3013;В3013
Розетка В3022;В3022
Розетка В3036;В3036
Розетка В3102;В3102
Розетка В3104;В3104
Розетка В3105;В3105
Розетка В3106;В3106
Розетка В3109;В3109
Розетка В3111;В3111
Розетка В3112;В3112
Розетка В3115;В3115
186-13 Молдинг (2,4м);186-13
116s-552 Угол (2,4м);116s-552 есть ДМ
116-4 Угол (2,4м);116-4 есть ДМ
116-126 Угол (2,4м);116-126 есть ДМ
116-281 Угол (2,4м);116-281
116-933 Угол (2,4м);116-933 есть ДМ
116-1028 Угол (2,4м);116-1028
116s-553 Угол (2,4м);116s-553 есть ДМ
116s-1028 Угол (2,4м);116s-1028
155s-553 Плинтус (2,4м);155s-553
155s-933 Плинтус (2,4м);155s-933
155s-937 Плинтус (2,4м);155s-937
155s-1084 Плинтус (2,4м);155s-1084
167s-118 Плинтус (2,4м);167s-118
167s-126 Плинтус (2,4м);167s-126
167s-127 Плинтус (2,4м);167s-127
167s-281 Плинтус (2,4м);167s-281
167s-767 Плинтус (2,4м);167s-767
167s-1028 Плинтус (2,4м);167s-1028
807-552 Молдинг (2,9м);807-552
807-553 Молдинг (2,9м);807-553
193-11 Плинтус напольный (2,4м);193-11
193-14 Плинтус напольный (2,4м);193-14
193-15 Плинтус напольный (2,4м);193-15
413-919 багет (2,9м);413-919
101-16 Молдинг (2,4м);101-16
184-16 Молдинг (2,4м);184-16
182-16 Угол (2,4м);182-16
C25-5 Панель (2,4м);C25-5
C25-2 Панель (2,4м);C25-2
Каминная полка L=2,4м  98813;98813
Радиус  897022-91;897022-91
Потолочный профиль гладкий L=240 см 96240;96240
Угловые вставки 98703-1;98703-1
Орнамент  66143 L;66143 L
Орнамент  66143 R;66143 R
Багет (1м/п);З.007/ПСС
Багет (1 м/п);Б.003/ПЗСЛ
Потолочный профиль с орнаментом L=2,4м 95338;95338 *
C25-1 Панель (2,4м);C25-1
Основание 92824-2;92824-2
Колонна (основание) 90024-6;90024-6
Полка декоративная 68511 (ракушка);68511
Купол 99120;99120
Потолочный профиль с орнаментом L=2,4м 95696;95696
Радиус  897174-120;897174-120
Орнамент  66141 L;66141 L
Орнамент  66141 R;66141 R
102-13 Молдинг  (2,4м);102-13
103-16 Молдинг (2,4м);103-16
105-14 Молдинг (2,4м);105-14
105-16 Молдинг (2,4м);105-16
107-13 Молдинг (2,4м);107-13 выв.
З.005 в грунте;З.005 в грунте
Потолочный профиль с орнаментом L2,4м DT 9813 Flex;DT 9813 flexible
L10-29 Панель (2,4м);L10-29
L30-29 Панель (2,4м);L30-29
M10-26 Панель (2,4м);M10-26
M10-27 Панель (2,4м);M10-27
M30-26 Панель (2,4м);M30-26
M30-27 Панель (2,4м);M30-27
N10-18 Панель (2,4м);N10-18
N10-20 Панель (2,4м);N10-20
N10-28 Панель (2,4м);N10-28
N10-29 Панель (2,4м);N10-29
N30-18 Панель (2,4м);N30-18
N30-20 Панель (2,4м);N30-20
N30-28 Панель (2,4м);N30-28
N30-29 Панель (2,4м);N30-29
3.007;З.007
Р.002;Р.002
Р.009;Р.009
Б.003;Б.003
3.005/2;З.005/2
3.007/2;З.007/2
116s-118 Угол (2,4м);116s-118
116-13 Угол (2,4м);116-13
Капитель 90024-5;90024-5
Радиус  897617-120;897617-120
Розетка 80195;80195
Углы для ступеней 66203 L;66203 L
Углы для ступеней 66203 R;66203 R
Потолочный профиль гладкий L=240 см 96900;96900
Клей акрил DECOMASTER-PU 3,6 кг (-20°C );Клей акрил. 3,6 кг
116-15 Угол (2,4м);116-15
685-221 багет (2,9м);685-221
116-16 Угол (2,4м);116-16 есть ДМ
Орнамент  66132 L;66132 L
Орнамент  66132 R;66132 R
Орнамент  66010;66010
Полукапитель DC-8303B8-H;DC-8303B8-H
Полуоснование DC-8302-8-H;DC-8302-8-H
Полуколонна DC-8308-8-H;DC-8308-8-H
186-15 Молдинг (2,4м);186-15
161-13 Молдинг (2,4м);161-13
186-16 Молдинг (2,4м);186-16
Орнамент  68101-2;68101-2
Полукапитель DC 8303A8-H;DC-8303A8-H
Полуколонна DC-8305-8-H;DC-8305-8-H
179-16 Плинтус (2,4м);179-16
157-16 Молдинг (2,4м);157-16 есть ДМ
180-16 Плинтус (2,4м);180-16
185-16 Молдинг (2,4м);185-16
186-11 Молдинг (2,4м);186-11
187-16 Молдинг (2,4м);187-16
188-16 Молдинг (2,4м);188-16
102-15 Молдинг (2,4м);102-15
107-11 Молдинг (2,4м);107-11 *
107-14 Молдинг (2,4м);107-14
107-15 Молдинг (2,4м);107-15
Радиус  897022-90;897022-90
117-22 Молдинг (2,4м);117-22
117-438 Молдинг (2,4м);117-438
117-552 Молдинг (2,4м);117-552
117-553 Молдинг (2,4м);117-553
130-16 Молдинг (2,4м);130-16 есть ДМ
137-115 Молдинг (2,4м);137-115
137-1153 Молдинг (2,4м);137-1153
137-243 Молдинг (2,4м);137-243
137-943 Молдинг (2,4м);137-943
196-1153 Молдинг (2,4м);196-1153
197-115 Молдинг (2,4м);197-115
197-1153 Молдинг (2,4м);197-1153
197-169 Молдинг (2,4м);197-169 выв.
197-243 Молдинг (2,4м);197-243
197-943 Молдинг (2,4м);197-943
152-14 Молдинг (2,4м);152-14
Карниз радиусный КР-011 (29 сегментов);КР-011
Карниз радиусный КР-011 (29 сегментов);КР-011
Радиус  898061-130;898061-130
Радиус  897617-90;897617-90
Полка декоративная 68501;68501
Арка 91360-1;91360-1
477-195 багет (2,9м);477-195
Бордюр круглый  LR 689/60;LR 689/60 выв.
192-14 Плинтус (2.4м);192-14
Полка 91363;91363
195-16 Плинтус напольный (2,4м);195-16
C25-6 Панель (2,4м);C25-6
152-52 Молдинг (2,4м);152-52
686M-565 багет (2,9м);686M-565
686M-566 багет (2,9м);686M-566
L30-28 Панель (2,4м);L30-28
Угловые вставки 97100-1;97100-1
Кессон DCL 02;DCL-02
Кессон DCL 04;DCL-04
F20-14 Панель (2,4м);F20-14
Потолочный профиль с орнаментом L=2,4м DT 9811;DT 9811
Радиус  897174-151;897174-151
З.005/СКТБ (1500*600) с зерк. пол.;З.005/СКТБ
Багет (1 м/п);Б.003/ПЗСЛ
Пилястра комплект Set A-11 (Дуб светлый);Set A-11
157-51 Молдинг (2,4м);157-51 есть ДМ
157-52 Молдинг (2,4м);157-52 есть ДМ
157-53 Молдинг (2,4м);157-53
157-54 Молдинг (2,4м);157-54 есть ДМ
157-55 Молдинг (2,4м);157-55 есть ДМ
161-51 Молдинг (2,4м);161-51
161-52 Молдинг (2,4м);161-52
161-53 Молдинг (2,4м);161-53
161-54 Молдинг (2,4м);161-54 есть ДМ
161-55 Молдинг (2,4м);161-55 есть ДМ
130-51 Молдинг (2,4м);130-51 есть ДМ
130-52 Молдинг (2,4м);130-52 есть ДМ
130-53 Молдинг (2,4м);130-53
130-55 Молдинг (2,4м);130-55 есть ДМ
185-51 Молдинг (2,4м);185-51
185-52 Молдинг (2,4м);185-52
185-53 Молдинг (2,4м);185-53
101-51 Молдинг  (2,4м);101-51
101-52 Молдинг  (2,4м);101-52
101-53 Молдинг (2,4м);101-53
102-28 Молдинг (2,4м);102-28
102-29 Молдинг (2,4м);102-29
102-51 Молдинг (2,4м);102-51
102-52 Молдинг (2,4м);102-52
102-53 Молдинг (2,4м);102-53
103-28 Молдинг (2,4м);103-28
103-29 Молдинг (2,4м);103-29
103-51 Молдинг (2,4м);103-51
103-52 Молдинг (2,4м);103-52
103-53 Молдинг (2,4м);103-53
105-28 Молдинг (2,4м);105-28
105-29 Молдинг (2,4м);105-29 выв.
105-51 Молдинг (2,4м);105-51
105-52 Молдинг (2,4м);105-52
105-53 Молдинг (2,4м);105-53
146-54 Плинтус (2,4м);146-54
146-55 Плинтус (2,4м);146-55
Арка 91360-2;91360-2
Ниша 91360;91360
116-11 Угол (2,4м);116-11
152-11 Молдинг (2,4м);152-11
152-53 Молдинг (2,4м);152-53
Консоль 96004;96004
Потолочный профиль гладкий L=240 см 96321 flexible;96321 flexible
158-55 Молдинг (2,4м);158-55 есть ДМ
Розетка 88125;88125
Сандрик 1.63.002;1.63.002
Плинтус D104 2м;D104
156-55 Молдинг (2,4м);156-55 есть ДМ
Сандрик 1.63.001;1.63.001
116-2 Угол (2,4м);116-2
107-28 Молдинг (2,4м);107-28
107-29 Молдинг (2,4м);107-29
107-51 Молдинг (2,4м);107-51
107-52 Молдинг (2,4м);107-52 выв.
107-53 Молдинг (2,4м);107-53
108-28 Молдинг (2,4 м);108-28
108-29 Молдинг (2,4 м);108-29
109-28 Молдинг (2,4м);109-28
109-29 Молдинг (2,4м);109-29
110-28 Т- профиль;110-28
110-29 Т- профиль;110-29
116-51 Угол (2,4м);116-51
116-52 Угол (2,4м);116-52
116-53 Угол (2,4м);116-53
116-54 Угол (2,4м);116-54 есть ДМ
116-55 Угол (2,4м);116-55 есть ДМ
116s-51 Угол (2,4м);116s-51
116s-52 Угол (2,4м);116s-52
116s-53 Угол (2,4м);116s-53
116s-55 Угол (2,4м);116s-55 есть ДМ
130-28 Молдинг (2,4м);130-28 есть ДМ
130-29 Молдинг (2,4м);130-29 есть ДМ
142-54 Угол (2,4м);142-54
142-55 Угол (2,4м);142-55
150-54 Молдинг (2,4м);150-54
150-55 Молдинг (2,4м);150-55
152-15 Молдинг (2,4м);152-15
152-51 Молдинг (2,4м);152-51
152-54 Молдинг (2,4м);152-54
152-55 Молдинг (2,4м);152-55 есть ДМ
153-54 Плинтус  напольный (2,4м);153-54
153-55 Плинтус  напольный (2,4м);153-55
154-54 Плинтус (2,4м);154-54
154-55 Плинтус (2,4м);154-55
155-55 Плинтус (2,4м);155-55
155-54 Плинтус (2,4м);155-54
155s-55 Плинтус (2,4м);155s-55
155s-54 Плинтус (2,4м);155s-54
156-54 Молдинг (2,4м);156-54 есть ДМ
157-28 Молдинг (2,4м);157-28
157-29 Молдинг (2,4м);157-29
158-54 Молдинг (2,4м);158-54 есть ДМ
161-14 Молдинг (2,4м);161-14
Углы для ступеней 66197 L;66197 L
Углы для ступеней 66197 R;66197 R
Купол DM 0862;DM 0862
214-6 багет (2,9м);214-6
Потолочный профиль с орнаментом L=2,4м 95842  Flex;95842  flexible
Ниша 91361;91361
F30-14 Панель (2,4м);F30-14
116-14 Угол (2,4м);116-14
Плинтус D157 2м;D157 есть ДМ
Плинтус D125 2м;D125 есть ДМ
527-1243 багет (2,9м);527-1243
400-956 багет (2,9м);400-956
195-52 Плинтус напольный (2,4м);195-52
228-566 багет (2,9м);228-566
849-373 багет (2.9м);849-373
S18-1224 багет (2,9м);S18-1224
293-752 багет (2,9м);293-752
L10-28 Панель (2,4м);L10-28
829-294 багет (2,9м);829-294
Полка декоративная 68692;68692
Полукапитель 90030-3-H;90030-3-H
Розетка 80050;80050
161-15 Молдинг (2,4м);161-15
Карниз с узорчатой резьбой L=2,44м. C 18100-8;C 18100-8 выв.
Потолочный профиль с орнаментом L=2,4м 95697;95697
Воск мягкий "Stuccorapido" (30гр),цвет №15;Воск цвет №15
Пилястра комплект Set A-13 (Ясень);Set A-13
Пилястра комплект Set A-14 (Жемчуг);Set A-14
Пилястра комплект Set A-15 (Ясень белый);Set A-15
Портал 91180;91180 АКЦИЯ!!
Карандаш-Маркер "Holzmarket" цвет №15 (серебро);цвет №15
120-40 Молдинг (2,4м);120-40
120-41 Молдинг (2,4м);120-41
120-42 Молдинг (2,4м);120-42
120-43 Молдинг (2,4м);120-43
120-44 Молдинг (2,4м);120-44
122-40 Карниз (2,4м);122-40
122-41 Карниз (2,4м);122-41
122-42 Карниз (2,4м);122-42
122-43 Карниз (2,4м);122-43
122-44 Карниз (2,4м);122-44
123-40 Карниз (2,4м);123-40
123-41 Карниз (2,4м);123-41
123-42 Карниз (2,4м);123-42
123-43 Карниз (2,4м);123-43
123-44 Карниз (2,4м);123-44
124-40 Карниз (2,4м);124-40
124-41 Карниз (2,4м);124-41
124-42 Карниз (2,4м);124-42
124-43 Карниз (2,4м);124-43
124-44 Карниз (2,4м);124-44
125-40 Молдинг (2,4м);125-40
125-41 Молдинг (2,4м);125-41
125-42 Молдинг (2,4м);125-42
125-43 Молдинг (2,4м);125-43
125-44 Молдинг (2,4м);125-44
130-40 Молдинг (2,4м);130-40
130-41 Молдинг (2,4м);130-41
130-42 Молдинг (2,4м);130-42
130-43 Молдинг (2,4м);130-43
130-44 Молдинг (2,4м);130-44 *
142-40 Угол (2,4м);142-40
142-41 Угол (2,4м);142-41
142-42 Угол (2,4м);142-42
142-43 Угол (2,4м);142-43
142-44 Угол (2,4м);142-44
150-40 Молдинг (2,4м);150-40
150-41 Молдинг (2,4м);150-41
150-42 Молдинг (2,4м);150-42
150-43 Молдинг (2,4м);150-43
150-44 Молдинг (2,4м);150-44
152-40 Молдинг (2,4м);152-40
152-41 Молдинг (2,4м);152-41
152-42 Молдинг (2,4м);152-42
152-43 Молдинг (2,4м);152-43
152-44 Молдинг (2,4м);152-44
153-40 Плинтус напольный (2,4м);153-40
153-41 Плинтус напольный (2,4м);153-41
153-42 Плинтус напольный (2,4м);153-42
153-43 Плинтус напольный (2,4м);153-43
153-44 Плинтус напольный (2,4м);153-44
156-40 Молдинг (2,4м);156-40 есть ДМ
156-41 Молдинг (2,4м);156-41
156-42 Молдинг (2,4м);156-42
156-43 Молдинг (2,4м);156-43
156-44 Молдинг (2,4м);156-44
157-40 Молдинг (2,4м);157-40 есть ДМ
157-41 Молдинг (2,4м);157-41 есть ДМ
157-42 Молдинг (2,4м);157-42 есть ДМ
157-43 Молдинг (2,4м);157-43 есть ДМ
157-44 Молдинг (2,4м);157-44 есть ДМ
161-40 Молдинг (2,4м);161-40
161-41 Молдинг (2,4м);161-41
161-42 Молдинг (2,4м);161-42
161-43 Молдинг (2,4м);161-43
161-44 Молдинг (2,4м);161-44
807-40 Молдинг (2,9м);807-40
807-41 Молдинг (2,9м);807-41
807-42 Молдинг (2,9м);807-42
807-43 Молдинг (2,9м);807-43
807-44 Молдинг (2,9м);807-44
Q10-40 Панель (2,4м);Q10-40
Q10-42 Панель (2,4м);Q10-42
Q10-43 Панель (2,4м);Q10-43
Q10-44 Панель (2,4м);Q10-44
Q15-40 Панель (2,4м);Q15-40
Q15-41 Панель (2,4м);Q15-41
Q15-42 Панель (2,4м);Q15-42
Q15-43 Панель (2,4м);Q15-43
Q15-44 Панель (2,4м);Q15-44
Q20-40 Панель (2,4м);Q20-40
Q20-41 Панель (2,4м);Q20-41
Q20-42 Панель (2,4м);Q20-42
Q20-43 Панель (2,4м);Q20-43
Q20-44 Панель (2,4м);Q20-44
Q25-40 Панель (2,4м);Q25-40
Q25-41 Панель (2,4м);Q25-41
Q25-42 Панель (2,4м);Q25-42
Q25-43 Панель (2,4м);Q25-43
Q25-44 Панель (2,4м);Q25-44
Q30-40 Панель (2,4м);Q30-40
Q30-41 Панель (2,4м);Q30-41
Q30-42 Панель (2,4м);Q30-42
Q30-43 Панель (2,4м);Q30-43
Q30-44 Панель (2,4м);Q30-44
Угловые вставки 97010-5;97010-5
Q10-41 Панель (2,4м);Q10-41
107-16 Молдинг (2,4м);107-16
Потолочный профиль с орнаментом L=2,4м 95647;95647
192-13  Плинтус (2.4м);192-13
Р.002/ПССП (580*1480мм) с зерк пол.;Р.002/ПССП
Р.002/ИД (580*1480мм) с зерк пол.;Р.002/ИД
З.007/ПССП (400*700мм) с зерк. пол.;З.007/ПССП
З.007/ПЗГ (400*700мм) с зерк. пол.;З.007/ПЗГ
808-176N багет (2,9м);808-176N
S18-966 багет (2,9м);S18-966
Потолочный профиль гладкий L=240 см 96616;96616
192-16  Плинтус (2.4м);192-16
524-1070 багет (2,9м);524-1070
Карниз CR 2435 (2,44 м);CR 2435 (2,44 м) выв
583-22 багет (2,9м);583-22
Купол 99180;99180
Орнамент  68062;68062
Угловые вставки 97100-2;97100-2
103-40 Молдинг (2,4м);103-40
685-126 багет (2,9м);685-126
J11-115 багет (2,9м);J11-115
Потолочный профиль гладкий L=240 см 96240 flexible;96240 flexible
161-11 Молдинг (2,4м);161-11
L10-20 Панель (2,4м);L10-20
229-1068 багет (2,9м);229-1068
103-43 Молдинг (2,4м);103-43
130C-54 Молдинг (2,4м);130C-54 есть ДМ
Консоль С 8064;С 8064
528-114 багет (2,9м);528-114
Радиус  897022-150;897022-150
103-41/48 Молдинг (2,4м);103-41
103-42 Молдинг (2,4м);103-42
103-44 Молдинг (2,4м);103-44
152-13 Молдинг (2,4м);152-13
179-51 Плинтус (2,4м);179-51
179-52 Плинтус (2,4м);179-52
179-53 Плинтус (2,4м);179-53
180-51 Плинтус (2,4м);180-51
180-52 Плинтус (2,4м);180-52
180-53 Плинтус (2,4м);180-53
182-51 Угол (2,4м);182-51
182-52 Угол (2,4м);182-52
182-53 Угол (2,4м);182-53
184-51 Молдинг (2,4м);184-51
184-52 Молдинг (2,4м);184-52
184-53 Молдинг (2,4м);184-53
186-51 Молдинг (2,4м);186-51
186-52 Молдинг (2,4м);186-52
186-53 Молдинг (2,4м);186-53
187-51 Молдинг (2,4м);187-51
187-52 Молдинг (2,4м);187-52
187-53 Молдинг (2,4м);187-53
188-51 Молдинг (2,4м);188-51
188-52 Молдинг (2,4м);188-52
188-53 Молдинг (2,4м);188-53
192-11  Плинтус (2.4м);192-11
192-15  Плинтус (2.4м);192-15
193-16 Плинтус напольный (2,4м);193-16
193-51 Плинтус напольный (2,4м);193-51
193-52 Плинтус напольный (2,4м);193-52
193-53 Плинтус напольный (2,4м);193-53
195-51 Плинтус напольный (2,4м);195-51
195-53 Плинтус напольный (2,4м);195-53
